ID,Key,English,German
354,ForgotPassword.Label.Title,Forgot your password?,Passwort vergessen?
355,ForgotPassword.Label.Body,Enter your email address and we will send you a link to reset your password.,Geben Sie Ihre E-Mail-Adresse ein und wir senden Ihnen einen Link zum Zurücksetzen Ihres Passworts.
356,ForgotPassword.Label.Success,"If your email address exists in our system, you will receive a password reset link shortly.","Wenn Ihre E-Mail-Adresse in unserem System existiert, erhalten Sie in Kürze einen Link zum Zurücksetzen des Passworts."
357,ForgotPassword.Toast.Success,"If your email address exists in our system, a password reset email has been sent.","Wenn Ihre E-Mail-Adresse in unserem System existiert, wurde eine E-Mail zum Zurücksetzen des Passworts gesendet."
358,ForgotPassword.Toast.Error,An error occurred.,Ein Fehler ist aufgetreten.
359,AuthModal.Button.SignUp,Sign up,Registrieren
360,AuthModal.Button.LogIn,Log in,Anmelden
361,AuthModal.Button.ForgotYourPassword,Forgot your password?,Passwort vergessen?
362,AuthModal.Label.WelcomeToForderassistent,Welcome to Naturwirt,Willkommen bei Naturwirt
363,AuthModal.Label.EmailPlaceholder,name@example.com,name@example.com
364,AuthModal.Label.Email,Email,E-Mail
365,AuthModal.Label.CreateAPasswordPlaceholder,Create a password,Passwort erstellen
366,AuthModal.Label.Password,Password,Passwort
367,AuthModal.Label.ConfirmPassword,Confirm password,Passwort bestätigen
368,AuthModal.Label.IAgreeToForderassistent,I agree to Naturwirt,Ich stimme Naturwirt zu
369,AuthModal.Label.And,and,und
370,AuthModal.Label.TermsOfUse,Terms of Use,Nutzungsbedingungen
371,AuthModal.Label.PrivacyPolicy,Privacy Policy,Datenschutzrichtlinie
372,AuthModal.Label.EnterYourPassword,Enter your password,Geben Sie Ihr Passwort ein
373,DeleteAccountModal.Button.PermanentlyDeleteAccount,Permanently delete account,Konto dauerhaft löschen
374,DeleteAccountModal.Button.Cancel,Cancel,Abbrechen
375,DeleteAccountModal.Label.AreYouSureYouWantToDeleteYourAccount,Are you sure you want to delete your account?,"Sind Sie sicher, dass Sie Ihr Konto löschen möchten?"
376,DeleteAccountModal.Label.ThisActionCannotBeUndone,This action cannot be undone. This will permanently delete your entire account and all your measures will be deleted.,Diese Aktion kann nicht rückgängig gemacht werden. Dadurch wird Ihr gesamtes Konto dauerhaft gelöscht und alle Ihre Maßnahmen werden gelöscht.
377,DeleteAccountModal.Label.TypeInYourEmail,Type in your email,Geben Sie Ihre E-Mail ein
378,DeleteAccountModal.Label.ToConfirm,to confirm.,zu bestätigen.
379,DeleteAccountModal.Label.EnterEmail,Enter email,E-Mail eingeben
380,DeleteAccountModal.Label.AnErrorOccurredPleaseTryAgain,An error occurred. Please try again.,Es ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut.
381,DeleteAccountModal.Label.EmailConfirmationDoesNotMatch,Email confirmation does not match,Die E-Mail-Bestätigung stimmt nicht überein
382,DeleteMeasureModal.Button.Cancel,Cancel,Abbrechen
383,DeleteMeasureModal.Button.PermanentlyDeleteMeasure,Permanently delete measure,Maßnahme dauerhaft löschen
384,DeleteMeasureModal.Label.AreYouSureYouWantToDeleteThisMeasure,Are you sure you want to delete this measure?,Möchten Sie diese Maßnahme wirklich löschen?
385,DeleteMeasureModal.Label.ThisActionCannotBeUndone,This action cannot be undone. This will permanently delete this measure.,Diese Aktion kann nicht rückgängig gemacht werden. Dadurch wird die Maßnahme dauerhaft gelöscht.
386,DeleteMeasureModal.Label.MeasureDeletedSuccessfully,Measure deleted successfully,Maßnahme erfolgreich gelöscht
387,DeleteMeasureModal.Label.AnErrorOccuredPleaseTryAgain,An error occurred. Please try again.,Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut.
388,Validator.index.Label.PasswordMustBeAtLeast8Characters,Password must be at least 8 characters,Das Passwort muss mindestens 8 Zeichen lang sein
389,Validator.index.Label.Required,Required,Erforderlich
390,Validator.index.Label.PasswordsDoNotMatch,Passwords do not match,Die Passwörter stimmen nicht überein
391,Validator.index.Label.MeasureIdentifierRequired,Measure identifier is required,Maßnahmenkennung ist erforderlich
392,Validator.index.Label.ProgramTitleFormat,"Program Title must be in the format ""ABC - DEF""","Der Programmtitel muss das Format ""ABC - DEF"" haben"
393,Validator.index.Label.MeasureTitleLongRequired,Measure title (long) is required,Maßnahmentitel (lang) ist erforderlich
394,Validator.index.Label.MeasureTitleShortRequired,Measure title (short) is required,Maßnahmentitel (kurz) ist erforderlich
395,Validator.index.Label.PublicationDateRequired,Publication date must be a valid date,Das Veröffentlichungsdatum muss ein gültiges Datum sein
396,Validator.index.Label.PublicationSourceRequired,Publication source is required,Veröffentlichungsquelle ist erforderlich
397,Validator.index.Label.ApplicationDateRequired,Application date must be a valid date,Das Antragsdatum muss ein gültiges Datum sein
398,Validator.index.Label.ApplicableAreaNotEmpty,Applicable area must not be empty if provided,"Der anwendbare Bereich darf nicht leer sein, wenn angegeben"
399,Validator.index.Label.ConventionalSubsidyPositiveInteger,Conventional subsidy must be a positive integer,Die konventionelle Subvention muss eine positive ganze Zahl sein
400,Validator.index.Label.OrganicSubsidyPositiveInteger,Organic subsidy must be a positive integer,Die Bio-Subvention muss eine positive ganze Zahl sein
401,Validator.index.Label.InvalidEmail,Invalid email address,Ungültige E-Mail-Adresse
402,Validator.index.Label.InvalidPhoneNumber,Invalid phone number,Ungültige Telefonnummer
403,Validator.index.Label.InvalidEffortValue,"Invalid effort value. Must be High, Medium or Low","Ungültiger Aufwandswert. Muss Hoch, Mittel oder Niedrig sein"
404,Validator.index.Label.EffortTooltipNotEmpty,Effort tooltip must not be empty if provided,"Aufwands-Tooltip darf nicht leer sein, wenn angegeben"
405,Validator.index.Label.DurationPositiveInteger,Duration must be a positive integer,Die Dauer muss eine positive ganze Zahl sein
406,Validator.index.Label.DurationTooltipNotEmpty,Duration tooltip must not be empty if provided,"Dauer-Tooltip darf nicht leer sein, wenn angegeben"
407,Validator.index.Label.InvalidSettingValue,"Invalid setting value. Must be Arable land, Pasture land, No specification or Other","Ungültiger Einstellungswert. Muss Ackerland, Grünland, Keine Angabe oder Sonstiges sein"
408,Validator.index.Label.SettingTooltipNotEmpty,Setting tooltip must not be empty if provided,"Einstellungs-Tooltip darf nicht leer sein, wenn angegeben"
409,Validator.index.Label.SituationInvalid,"Invalid situation value. Must be Rotating, Whole farm or Fixed","Ungültiger Situationswert. Muss Wechselnd, Gesamtbetrieb oder Fest sein"
410,Validator.index.Label.SituationTooltipNotEmpty,Situation tooltip must not be empty if provided,"Situations-Tooltip darf nicht leer sein, wenn angegeben"
411,Validator.index.Label.WhatsInvolvedNotEmpty,What is involved must not be empty if provided,"Was beinhaltet darf nicht leer sein, wenn angegeben"
412,Validator.index.Label.CultivationConditionsNotEmpty,Cultivation conditions must not be empty if provided,"Anbaubedingungen dürfen nicht leer sein, wenn angegeben"
413,Validator.index.Label.CombinationsDescriptionNotEmpty,Combinations description must not be empty if provided,"Kombinationsbeschreibung darf nicht leer sein, wenn angegeben"
414,Validator.index.Label.AtleastOneApplicationStep,There must be at least one application step,Es muss mindestens einen Antragsschritt geben
415,Validator.index.Label.ApplicationDescriptionNotEmpty,Application description must not be empty if provided,"Antragsbeschreibung darf nicht leer sein, wenn angegeben"
416,Validator.index.Label.AvailableCombinationNotEmpty,Available combination must not be empty if provided,"Verfügbare Kombination darf nicht leer sein, wenn angegeben"
417,Validator.index.Label.TotalAmountPositiveInteger,Total amount must be a positive integer,Der Gesamtbetrag muss eine positive ganze Zahl sein
418,Validator.index.Label.SubidyValueAtleastOne,At least one subsidy value must be provided,Mindestens ein Förderwert muss angegeben werden
419,Validator.Auth.Label.PasswordDontMatch,Passwords don't match,Die Passwörter stimmen nicht überein
420,NotFound.Button.ReturnHome,Return home,Zurück zur Startseite
421,NotFound.Label.NotFound,Not Found (404),Nicht gefunden (404)
422,NotFound.Label.SorryWeCantSeemToFindThePageYoureLookingFor,"Sorry, we can't seem to find the page you're looking for","Entschuldigung, wir können die von Ihnen gesuchte Seite nicht finden"
423,NotFound.Label.IfYouBelieveThisIsAnError,"If you believe this is an error,","Wenn Sie glauben, dass dies ein Fehler ist,"
424,NotFound.Label.ReachOutToUs,reach out to us.,kontaktieren Sie uns.
425,Admin.Navbar.Measures,Measures,Maßnahmen
426,Admin.Navbar.Users,Users,Benutzer
427,Admin.Navbar.CreateMeasure,Create measure,Maßnahme erstellen
428,Admin.Navbar.SignOut,Sign out,Abmelden
429,Admin.Version,Version,Version
430,UI.Table.RowsDefaultName,rows,Zeilen
431,UI.Table.TableDefaultName,table,Tabelle
432,UI.Table.Showing,Showing,Anzeigen
433,UI.Table.DownloadCSV,Download CSV,CSV herunterladen
434,UI.Table.Columns,Columns,Spalten
435,UI.Table.NoResults,No results,Keine Ergebnisse
436,UI.Table.Page,Page,Seite
437,UI.Table.PageSize,Page size,Seitengröße
438,UI.Table.Search,Search,Suchen
439,UI.Table.Yes,Yes,Ja
440,UI.Table.No,No,Nein
441,UI.Toast.Error,An error occurred.,Ein Fehler ist aufgetreten.
